"","resp","block","m_RAR","h_RAR","n_looks_RAR","reject_adj_1","reject_adj_2","reject_adj_3","sd_reject_adj_1","sd_reject_adj_2","sd_reject_adj_3","reject_adj","reject_adj_al_2","reject_adj_s_1","reject_adj_s_2","reject_adj_s_3","ASN_target_pbo","ASN_target_1","ASN_target_2","ASN_target_3","ASN_s_1","ASN_s_2","ASN_s_3","ASN_s_sig_1","ASN_s_sig_2","ASN_s_sig_3","ASN_pbo","ASN_1","ASN_2","ASN_3","reject_unadj_1","reject_unadj_2","reject_unadj_3","bias_1","bias_2","bias_3","bias_4","selected_dose_1","selected_dose_2","selected_dose_3","n_total_RAR"
"1","0.43, 0.48, 0.63, 1.2","5, 5, 5, 5","60","1","60","0.02679","0.0754","0.71924","0.16147","0.264037","0.4493727","0.72082","0.08478","0.00062","0.00545","0.71475","30","30","30","30","30.01769","30.03369","29.96428","29.95558","30.087","29.85795","29.98434","30.32258","30.18899","30.09014","0.03898","0.11372","0.82765","0.0006543663","0.01146581","0.07239216","-0.08436111","0.0028","0.01489","0.98231","120"
"2","0.43, 0.48, 0.63, 1.2","9, 9, 1, 1","60","1","60","0.01972","0.05786","0.82543","0.1390371","0.2334797","0.3796008","0.82971","0.06551","0.00117","0.0079","0.82064","42","42","18","18","40.4093","19.31003","18.26729","39.40213","20.79416","18.07052","42.01338","36.71795","39.70127","41.24583","0.03128","0.09025","0.89213","-9.739986e-05","0.007367979","0.07973248","-0.1180825","0.00556","0.02552","0.96892","120"
"3","0.43, 0.68, 0.93, 1.2","5, 5, 5, 5","60","1","60","0.13459","0.37997","0.72789","0.3412868","0.4853815","0.4450485","0.75424","0.37196","0.00725","0.09665","0.65034","30","30","30","30","30.14618","29.97476","29.89472","30.11635","29.93455","29.80531","29.98434","30.33655","30.39659","30.14331","0.1547","0.47292","0.82765","0.0006543663","0.06767554","0.004756052","-0.07293474","0.01511","0.14914","0.83575","120"
"4","0.43, 0.68, 0.93, 1.2","9, 9, 1, 1","60","1","60","0.10322","0.33581","0.76424","0.3042475","0.4722752","0.424475","0.82546","0.3043","0.0104","0.12624","0.68882","42","42","18","18","38.79755","20.64435","18.54183","37.84606","21.21074","18.27614","42.01627","37.11827","39.48843","39.7282","0.12524","0.41177","0.82328","-0.0001384509","0.05307306","0.001078648","-0.1184613","0.02324","0.1806","0.79616","120"
"5","0.43, 1, 1.15, 1.2","5, 5, 5, 5","60","1","60","0.53741","0.71016","0.76043","0.498601","0.4536902","0.4268232","0.85187","0.68212","0.0963","0.31528","0.44029","30","30","30","30","30.32937","30.02343","29.66286","30.28667","29.99511","29.61277","29.98434","30.36521","30.3756","30.28429","0.57587","0.77654","0.82765","0.0006543663","0.133862","-0.007814027","-0.1265512","0.12049","0.37101","0.5085","120"
"6","0.43, 1, 1.15, 1.2","9, 9, 1, 1","60","1","60","0.46812","0.66938","0.73129","0.4989851","0.4704388","0.443291","0.9013","0.61875","0.11833","0.33743","0.44554","42","42","18","18","38.02061","21.2428","18.73079","37.50115","21.30525","18.64851","42.0058","38.23612","38.53344","38.38576","0.49768","0.71234","0.77205","-0.0001243402","0.1004536","-0.009628185","-0.1759387","0.14018","0.37381","0.48601","120"
