"","resp","block","m_RAR","h_RAR","n_looks_RAR","reject_adj_1","reject_adj_2","sd_reject_adj_1","sd_reject_adj_2","reject_adj","reject_adj_al_2","reject_adj_s_1","reject_adj_s_2","ASN_target_pbo","ASN_target_1","ASN_target_2","ASN_s_1","ASN_s_2","ASN_s_sig_1","ASN_s_sig_2","ASN_pbo","ASN_1","ASN_2","reject_unadj_1","reject_unadj_2","bias_1","bias_2","bias_3","selected_dose_1","selected_dose_2","n_total_RAR","ASN_pbo_sd","ASN_1_sd","ASN_2_sd"
"1","0.151, 0.282, 0.4","4, 4, 4","90","1","90","0.30895","0.80871","0.4620628","0.3933188","0.82574","0.29192","0.05825","0.76749",84,66,30,"60.07515","59.90738","59.99557","59.87266","60.01747","60.27124","60.03332","0.41763","0.87751","0.0001777468","0.01360025","-0.01352077","0.08619","0.91381","180","4.486541","4.471548","4.486353"
"2","0.151, 0.282, 0.4","7, 7, 1","90","1","90","0.27416","0.82441","0.4460922","0.3804729","0.86222","0.23635","0.07822","0.784",84,66,30,"69.93187","38.04983","68.60873","37.44944","72.0183","69.39031","70.63628","0.36951","0.87844","0.0002371614","0.01171918","-0.02509269","0.11903","0.88097","180","4.73442","9.243951","8.431315"
