"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",15.45066,15.90022,16.34952,16.79787,17.25041,17.69942,18.14863,18.60145,19.05164,19.50246,19.95374,20.40391,20.85588,21.3078,21.75835,22.20855,22.65926,23.10917,23.55724,24.00804,24.4574,24.90747,25.35669,25.80795,26.25876,26.71166,27.16093,27.61055,28.05978,28.50813,28.95959,29.40816,29.85919,30.308,30.75726,31.20626,31.65752,32.10824,32.55804,33.01126,33.46566,33.91451,34.36466,34.81627,35.26586,35.71854,36.1719,36.62157,37.07191,37.5218,37.97212,38.42279,38.8688,39.31804,39.76569,40.21422,40.66306,41.11405,41.56634,42.01627
"2",15.37111,15.74533,16.12265,16.50206,16.87968,17.26109,17.64383,18.0256,18.4109,18.79793,19.18487,19.57331,19.96248,20.35122,20.74167,21.13383,21.52545,21.9198,22.31643,22.70993,23.10569,23.49982,23.89664,24.29199,24.68965,25.0866,25.4861,25.88479,26.28651,26.68789,27.08625,27.48867,27.88976,28.29233,28.69496,29.09827,29.4989,29.90015,30.30229,30.70331,31.10156,31.50501,31.90877,32.31119,32.71629,33.11826,33.51845,33.92241,34.32654,34.73196,35.1387,35.54391,35.9534,36.35966,36.76688,37.17472,37.58119,37.98586,38.39084,38.79755
"3",15.11146,15.22172,15.32893,15.43675,15.54103,15.64547,15.74894,15.85135,15.9527,16.05427,16.15406,16.25359,16.351,16.44859,16.54663,16.64351,16.73993,16.83577,16.93139,17.0262,17.12112,17.2165,17.31045,17.40377,17.49647,17.59018,17.68379,17.77755,17.86878,17.9608,18.05254,18.14237,18.23295,18.32339,18.41545,18.50683,18.59717,18.68783,18.77908,18.86844,18.95823,19.04883,19.13794,19.22693,19.31556,19.40492,19.49425,19.5845,19.67287,19.7609,19.84844,19.93659,20.02484,20.11339,20.20247,20.29074,20.3797,20.46861,20.55606,20.64435
"4",15.06677,15.13273,15.1989,15.26332,15.32888,15.39402,15.4586,15.5216,15.58476,15.64534,15.70733,15.76919,15.83064,15.89239,15.95335,16.01411,16.07536,16.13526,16.19494,16.25583,16.31579,16.37621,16.43622,16.49629,16.55512,16.61156,16.66918,16.72711,16.78493,16.84318,16.90162,16.9608,17.0181,17.07628,17.13233,17.18864,17.24641,17.30378,17.36059,17.41699,17.47455,17.53165,17.58863,17.64561,17.70229,17.75828,17.8154,17.87152,17.92868,17.98534,18.04074,18.09671,18.15296,18.20891,18.26496,18.32032,18.37605,18.43148,18.48676,18.54183
