"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",15.21143,15.42403,15.63805,15.85345,16.06904,16.28446,16.50374,16.72109,16.94017,17.15968,17.38215,17.60395,17.82643,18.04954,18.2729,18.49529,18.71637,18.94248,19.16773,19.39319,19.61914,19.84655,20.07395,20.30212,20.53081,20.76043,20.9889,21.21926,21.44836,21.67466,21.90519,22.13338,22.36261,22.59292,22.82383,23.05551,23.28755,23.51688,23.74879,23.98038,24.21313,24.44386,24.6733,24.90601,25.13849,25.37103,25.6036,25.8348,26.06904,26.30358,26.53524,26.76788,27.00201,27.23617,27.46833,27.70077,27.93311,28.16526,28.397,28.62974
"2",15.32246,15.64137,15.95702,16.27153,16.58566,16.89784,17.20542,17.5115,17.81957,18.12411,18.42559,18.72806,19.02709,19.32601,19.62394,19.92465,20.22261,20.51636,20.81161,21.10606,21.40267,21.69601,21.98714,22.27717,22.56931,22.86113,23.15193,23.44104,23.72758,24.01415,24.3026,24.58933,24.87769,25.16416,25.4516,25.73847,26.02295,26.30829,26.595,26.87833,27.16313,27.4456,27.728,28.0098,28.29304,28.57658,28.85891,29.14204,29.42497,29.70518,29.98685,30.26508,30.54551,30.82628,31.10651,31.38418,31.6688,31.94843,32.22888,32.50688
"3",15.25008,15.50482,15.75679,16.00898,16.25948,16.51231,16.76645,17.02196,17.27255,17.52786,17.78144,18.03436,18.28715,18.54128,18.7942,19.04546,19.30061,19.55385,19.80776,20.06096,20.3135,20.56546,20.81782,21.07187,21.32191,21.57397,21.82498,22.07636,22.32892,22.58341,22.83657,23.09255,23.34349,23.59554,23.84606,24.09703,24.34981,24.60344,24.85493,25.10733,25.35788,25.61221,25.86517,26.11665,26.36849,26.61874,26.87259,27.12508,27.37637,27.62848,27.88028,28.13435,28.38634,28.63902,28.89283,29.14721,29.39576,29.64675,29.8985,30.15036
"4",15.21603,15.42978,15.64814,15.86604,16.08582,16.30539,16.52439,16.74545,16.96771,17.18835,17.41082,17.63363,17.85933,18.08317,18.30896,18.5346,18.76041,18.98731,19.2129,19.43979,19.66469,19.89198,20.12109,20.34884,20.57797,20.80447,21.03419,21.26334,21.49514,21.72778,21.95564,22.18474,22.41621,22.64738,22.87851,23.10899,23.33969,23.57139,23.80128,24.03396,24.26586,24.49833,24.73353,24.96754,25.19998,25.43365,25.6649,25.89808,26.12962,26.36276,26.59763,26.83269,27.06614,27.29853,27.53233,27.76784,28.00233,28.23956,28.47562,28.71302
