"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",15.11392,15.23222,15.35184,15.47455,15.5997,15.72569,15.8547,15.98604,16.11827,16.2513,16.38778,16.52554,16.66381,16.80244,16.94142,17.08275,17.22687,17.37007,17.51434,17.66054,17.80712,17.95452,18.10448,18.25543,18.40619,18.55935,18.71248,18.86588,19.02143,19.1753,19.32959,19.4855,19.64123,19.79916,19.95684,20.11601,20.27407,20.43278,20.59219,20.75337,20.9165,21.07856,21.24029,21.40358,21.56563,21.7269,21.88867,22.05389,22.21973,22.38247,22.5458,22.71156,22.8763,23.04141,23.20707,23.3748,23.54048,23.70672,23.87366,24.03966
"2",15.57651,16.14533,16.70597,17.25879,17.80528,18.34637,18.88193,19.41173,19.93999,20.46111,20.97437,21.48304,21.98803,22.49014,22.99031,23.48608,23.97761,24.46898,24.95468,25.43743,25.91839,26.39576,26.87092,27.34564,27.81642,28.28572,28.75339,29.21976,29.68263,30.14442,30.60662,31.0638,31.52249,31.97827,32.43184,32.88032,33.32826,33.77803,34.2245,34.67019,35.11428,35.55781,35.9998,36.43917,36.87843,37.31911,37.75735,38.19238,38.62756,39.06428,39.49837,39.92923,40.35973,40.7872,41.21549,41.64515,42.07344,42.50299,42.9323,43.36047
"3",15.19756,15.39546,15.59793,15.80328,16.00961,16.2188,16.42972,16.63985,16.85097,17.06682,17.28432,17.50346,17.72345,17.945,18.16774,18.39013,18.61435,18.83764,19.06107,19.28812,19.5174,19.74581,19.97633,20.20394,20.43562,20.66482,20.89638,21.12766,21.36095,21.59462,21.82727,22.05984,22.29238,22.52754,22.76197,22.99845,23.23529,23.46977,23.70691,23.94221,24.17757,24.4129,24.65211,24.88915,25.12709,25.36704,25.60659,25.84675,26.08398,26.32421,26.56406,26.8061,27.04734,27.29011,27.53292,27.77277,28.01432,28.25508,28.4954,28.73827
"4",15.11201,15.22699,15.34426,15.46338,15.58541,15.70914,15.83365,15.96238,16.09077,16.22077,16.35353,16.48796,16.62471,16.76242,16.90053,17.04104,17.18117,17.32331,17.46991,17.61391,17.75709,17.90391,18.04827,18.19499,18.34177,18.49011,18.63775,18.7867,18.93499,19.08566,19.23652,19.39086,19.5439,19.69503,19.84935,20.00522,20.16238,20.31942,20.4764,20.63423,20.79165,20.95073,21.1078,21.2681,21.42885,21.58695,21.74739,21.90698,22.06873,22.22904,22.39177,22.55311,22.71663,22.88128,23.04452,23.20728,23.37176,23.53521,23.69864,23.8616
