"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",15.05823,15.11882,15.18215,15.2459,15.31192,15.37824,15.44722,15.51777,15.58993,15.66319,15.73706,15.81281,15.8916,15.97068,16.04995,16.13201,16.21659,16.30045,16.38378,16.46943,16.55671,16.64547,16.73497,16.82478,16.91559,17.00846,17.1032,17.19782,17.29417,17.38919,17.48744,17.58388,17.6834,17.78263,17.88273,17.98473,18.08711,18.1909,18.29524,18.39786,18.50264,18.60745,18.7133,18.81788,18.92616,19.0348,19.14365,19.25206,19.36264,19.47305,19.58482,19.69616,19.80884,19.9225,20.03674,20.15026,20.26508,20.38025,20.49391,20.61012
"2",15.43117,15.85705,16.2792,16.69464,17.10713,17.51742,17.92586,18.33028,18.7288,19.12572,19.5208,19.91091,20.3027,20.68902,21.07034,21.4522,21.83275,22.21175,22.59178,22.96416,23.3354,23.70767,24.07767,24.44573,24.81463,25.17904,25.54433,25.90975,26.27062,26.6357,26.995,27.35518,27.71343,28.07335,28.43272,28.78868,29.14624,29.50054,29.85258,30.20768,30.56298,30.91537,31.26802,31.61767,31.96797,32.31818,32.66543,33.01203,33.35896,33.70741,34.05204,34.39758,34.7424,35.08708,35.43279,35.77476,36.11781,36.46328,36.80651,37.14735
"3",15.30636,15.61325,15.9214,16.22917,16.53728,16.8474,17.1533,17.46264,17.77119,18.08034,18.38793,18.699,19.00539,19.31568,19.62576,19.93174,20.23841,20.54784,20.85485,21.1639,21.47158,21.77931,22.08509,22.39263,22.69733,23.00332,23.30713,23.61203,23.91749,24.22184,24.52567,24.82935,25.13188,25.43501,25.73879,26.04232,26.34574,26.64711,26.94879,27.25015,27.54805,27.85025,28.15274,28.45641,28.75634,29.05512,29.35493,29.65605,29.9565,30.25568,30.55686,30.85811,31.1572,31.45566,31.75466,32.05398,32.35209,32.64775,32.94695,33.24499
"4",15.20424,15.41088,15.61725,15.83029,16.04367,16.25694,16.47362,16.68931,16.91008,17.13075,17.35421,17.57728,17.80031,18.02462,18.25395,18.48405,18.71225,18.93996,19.16959,19.40251,19.63631,19.86755,20.10227,20.33686,20.57245,20.80918,21.04534,21.2804,21.51772,21.75327,21.99189,22.23159,22.47129,22.70901,22.94576,23.18427,23.42091,23.66145,23.90339,24.14431,24.38633,24.62693,24.86594,25.10804,25.34953,25.5919,25.83599,26.07986,26.3219,26.56386,26.80628,27.04815,27.29156,27.53476,27.77581,28.021,28.26502,28.50872,28.75263,28.99754
