"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",15.19019,15.38133,15.57491,15.76644,15.96166,16.15884,16.35739,16.5543,16.75211,16.9531,17.15195,17.35171,17.55416,17.75618,17.95994,18.16697,18.37215,18.57945,18.78502,18.99347,19.19961,19.40759,19.61701,19.82755,20.03404,20.24169,20.45303,20.66362,20.87602,21.08638,21.30049,21.51264,21.72549,21.93892,22.15392,22.36699,22.58083,22.79623,23.01161,23.22578,23.44308,23.66021,23.87573,24.09176,24.3089,24.5265,24.74167,24.96031,25.17745,25.3936,25.61127,25.82799,26.04801,26.26766,26.48587,26.70552,26.92494,27.14261,27.36099,27.57949
"2",15.29736,15.5921,15.88683,16.18008,16.47142,16.76268,17.05307,17.3439,17.63149,17.91789,18.20703,18.49298,18.77926,19.06682,19.35119,19.63416,19.91654,20.19961,20.48265,20.7624,21.04582,21.32844,21.60958,21.88934,22.16991,22.44933,22.7279,23.00615,23.28356,23.56206,23.83926,24.11872,24.39722,24.67416,24.95231,25.2285,25.50551,25.77965,26.05521,26.33134,26.6063,26.88356,27.15978,27.43533,27.70729,27.98113,28.25683,28.53175,28.8072,29.08343,29.35674,29.6323,29.90641,30.17746,30.45111,30.72455,30.99881,31.27237,31.54536,31.81809
"3",15.26965,15.54051,15.80972,16.08226,16.35237,16.62143,16.89125,17.16106,17.43017,17.69634,17.96418,18.23239,18.49687,18.76309,19.02913,19.29508,19.56258,19.82967,20.0964,20.36221,20.62891,20.89586,21.16121,21.42276,21.68901,21.95386,22.21836,22.48149,22.74458,23.01066,23.2725,23.53597,23.7985,24.06358,24.32877,24.59381,24.85879,25.12293,25.38522,25.64951,25.91197,26.17189,26.43396,26.69497,26.95802,27.22083,27.48331,27.74325,28.0041,28.26649,28.52777,28.79057,29.05226,29.31294,29.57485,29.83551,30.09559,30.35853,30.61905,30.88077
"4",15.2428,15.48606,15.72854,15.97122,16.21455,16.45705,16.69829,16.94074,17.18623,17.43267,17.67684,17.92292,18.16971,18.41391,18.65974,18.90379,19.14873,19.39127,19.63593,19.88192,20.12566,20.36811,20.6122,20.86035,21.10704,21.35512,21.60071,21.84874,22.09584,22.3409,22.58775,22.83267,23.07879,23.32334,23.565,23.8107,24.05487,24.30119,24.54796,24.79337,25.03865,25.28434,25.53053,25.77794,26.02579,26.27154,26.51819,26.76469,27.01125,27.25648,27.50422,27.74914,27.99332,28.24194,28.48817,28.73442,28.98066,29.22649,29.4746,29.72165
