"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",15.1972,15.39492,15.59483,15.79703,15.99943,16.20221,16.40684,16.61159,16.81687,17.02302,17.23335,17.44153,17.654,17.86437,18.07577,18.28673,18.49724,18.71081,18.92414,19.13687,19.35152,19.56775,19.78194,19.99684,20.21271,20.43364,20.65054,20.87067,21.09154,21.30948,21.53025,21.75228,21.97036,22.19182,22.41191,22.63287,22.85539,23.07509,23.29737,23.51897,23.74288,23.96279,24.18595,24.4079,24.63316,24.85674,25.08184,25.30373,25.5281,25.75233,25.97742,26.20308,26.42777,26.65538,26.87896,27.10323,27.32631,27.55207,27.77636,28.00078
"2",15.30162,15.60224,15.89984,16.19825,16.49512,16.7894,17.08176,17.37493,17.66838,17.95657,18.24531,18.53134,18.81834,19.1037,19.38913,19.67485,19.96043,20.24335,20.5297,20.81287,21.09622,21.37619,21.65762,21.93666,22.21695,22.49417,22.77256,23.05178,23.32925,23.60662,23.88346,24.16045,24.43928,24.71588,24.99447,25.26942,25.54403,25.81955,26.09758,26.37259,26.64715,26.92365,27.19866,27.47596,27.74982,28.02406,28.29923,28.57428,28.84991,29.12242,29.3986,29.67216,29.9468,30.21885,30.49207,30.7661,31.04254,31.31436,31.58374,31.8566
"3",15.26797,15.53787,15.80601,16.07326,16.33928,16.60799,16.87474,17.1423,17.40827,17.67584,17.94204,18.20862,18.47232,18.73719,19.00042,19.26494,19.52996,19.79374,20.05507,20.31842,20.58158,20.84762,21.10913,21.37522,21.6372,21.90019,22.16508,22.42529,22.6889,22.9513,23.21359,23.47364,23.73483,23.99558,24.25514,24.51516,24.77632,25.03935,25.29978,25.56201,25.82407,26.0874,26.34701,26.60667,26.86431,27.12437,27.38355,27.64562,27.90363,28.16361,28.42236,28.68081,28.93892,29.19826,29.45703,29.71601,29.97588,30.23714,30.49801,30.75696
"4",15.23321,15.46497,15.69932,15.93146,16.16617,16.4004,16.63666,16.87118,17.10648,17.34457,17.5793,17.81851,18.05534,18.29474,18.53468,18.77348,19.01237,19.2521,19.49109,19.73184,19.97068,20.20844,20.45131,20.69128,20.93314,21.172,21.41182,21.65226,21.89031,22.1326,22.3727,22.61363,22.85553,23.09672,23.33848,23.58255,23.82426,24.06601,24.30527,24.54643,24.7859,25.02616,25.26838,25.50947,25.75271,25.99483,26.23538,26.47637,26.71836,26.96164,27.20162,27.44395,27.68651,27.92751,28.17194,28.41466,28.65527,28.89643,29.14189,29.38566
